Set1;Set2
[1,1,1,1,5,15,21];[1,1,1,1,5,17,19]
[1,1,1,1,7,7,7,7,13];[1,1,1,1,7,7,7,9,11]
[1,1,1,1,7,7,9,9,9];[1,1,1,1,7,7,27]
[1,1,1,1,7,9,25];[1,1,1,1,7,11,23]
[1,1,1,1,7,13,21];[1,1,1,1,7,15,19]
[1,1,1,1,7,17,17];[1,1,1,1,9,9,23]
[1,1,1,1,9,11,21];[1,1,1,1,9,13,19]
[1,1,1,1,9,15,17];[1,1,1,1,11,11,19]
[1,1,1,1,11,13,17];[1,1,1,1,11,15,15]
[1,1,1,1,13,13,15];[1,1,1,1,41]
[1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3];[1,1,1,3,3,3,3,3,3,3,3,3,3,3,9]
[1,1,1,3,3,3,3,3,3,3,3,3,3,5,7];[1,1,1,3,3,3,3,3,3,3,3,3,5,5,5]
[1,1,1,3,3,3,3,3,3,3,3,3,15];[1,1,1,3,3,3,3,3,3,3,3,5,13]
[1,1,1,3,3,3,3,3,3,3,3,7,11];[1,1,1,3,3,3,3,3,3,3,3,9,9]
[1,1,1,3,3,3,3,3,3,3,5,5,11];[1,1,1,3,3,3,3,3,3,3,5,7,9]
[1,1,1,3,3,3,3,3,3,3,7,7,7];[1,1,1,3,3,3,3,3,3,3,21]
[1,1,1,3,3,3,3,3,3,5,5,5,9];[1,1,1,3,3,3,3,3,3,5,5,7,7]
[1,1,1,3,3,3,3,3,3,5,19];[1,1,1,3,3,3,3,3,3,7,17]
[1,1,1,3,3,3,3,3,3,9,15];[1,1,1,3,3,3,3,3,3,11,13]
[1,1,1,3,3,3,3,3,5,5,5,5,7];[1,1,1,3,3,3,3,3,5,5,17]
[1,1,1,3,3,3,3,3,5,7,15];[1,1,1,3,3,3,3,3,5,9,13]
[1,1,1,3,3,3,3,3,5,11,11];[1,1,1,3,3,3,3,3,7,7,13]
[1,1,1,3,3,3,3,3,7,9,11];[1,1,1,3,3,3,3,3,9,9,9]
[1,1,1,3,3,3,3,3,27];[1,1,1,3,3,3,3,5,5,5,5,5,5]
[1,1,1,3,3,3,3,5,5,5,15];[1,1,1,3,3,3,3,5,5,7,13]
[1,1,1,3,3,3,3,5,5,9,11];[1,1,1,3,3,3,3,5,7,7,11]
[1,1,1,3,3,3,3,5,7,9,9];[1,1,1,3,3,3,3,5,25]
[1,1,1,3,3,3,3,7,7,7,9];[1,1,1,3,3,3,3,7,23]
[1,1,1,3,3,3,3,9,21];[1,1,1,3,3,3,3,11,19]
[1,1,1,3,3,3,3,13,17];[1,1,1,3,3,3,3,15,15]
[1,1,1,3,3,3,5,5,5,5,13];[1,1,1,3,3,3,5,5,5,7,11]
[1,1,1,3,3,3,5,5,5,9,9];[1,1,1,3,3,3,5,5,7,7,9]
[1,1,1,3,3,3,5,5,23];[1,1,1,3,3,3,5,7,7,7,7]
[1,1,1,3,3,3,5,7,21];[1,1,1,3,3,3,5,9,19]
[1,1,1,3,3,3,5,11,17];[1,1,1,3,3,3,5,13,15]
[1,1,1,3,3,3,7,7,19];[1,1,1,3,3,3,7,9,17]
[1,1,1,3,3,3,7,11,15];[1,1,1,3,3,3,7,13,13]
[1,1,1,3,3,3,9,9,15];[1,1,1,3,3,3,9,11,13]
[1,1,1,3,3,3,11,11,11];[1,1,1,3,3,3,33]
[1,1,1,3,3,5,5,5,5,5,11];[1,1,1,3,3,5,5,5,5,7,9]
[1,1,1,3,3,5,5,5,7,7,7];[1,1,1,3,3,5,5,5,21]
[1,1,1,3,3,5,5,7,19];[1,1,1,3,3,5,5,9,17]
[1,1,1,3,3,5,5,11,15];[1,1,1,3,3,5,5,13,13]
[1,1,1,3,3,5,7,7,17];[1,1,1,3,3,5,7,9,15]
[1,1,1,3,3,5,7,11,13];[1,1,1,3,3,5,9,9,13]
[1,1,1,3,3,5,9,11,11];[1,1,1,3,3,5,31]
[1,1,1,3,3,7,7,7,15];[1,1,1,3,3,7,7,9,13]
[1,1,1,3,3,7,7,11,11];[1,1,1,3,3,7,9,9,11]
[1,1,1,3,3,7,29];[1,1,1,3,3,9,9,9,9]
[1,1,1,3,3,9,27];[1,1,1,3,3,11,25]
[1,1,1,3,3,13,23];[1,1,1,3,3,15,21]
[1,1,1,3,3,17,19];[1,1,1,3,5,5,5,5,5,5,9]
[1,1,1,3,5,5,5,5,5,7,7];[1,1,1,3,5,5,5,5,19]
[1,1,1,3,5,5,5,7,17];[1,1,1,3,5,5,5,9,15]
[1,1,1,3,5,5,5,11,13];[1,1,1,3,5,5,7,7,15]
[1,1,1,3,5,5,7,9,13];[1,1,1,3,5,5,7,11,11]
[1,1,1,3,5,5,9,9,11];[1,1,1,3,5,5,29]
[1,1,1,3,5,7,7,7,13];[1,1,1,3,5,7,7,9,11]
[1,1,1,3,5,7,9,9,9];[1,1,1,3,5,7,27]
[1,1,1,3,5,9,25];[1,1,1,3,5,11,23]
[1,1,1,3,5,13,21];[1,1,1,3,5,15,19]
[1,1,1,3,5,17,17];[1,1,1,3,7,7,7,7,11]
[1,1,1,3,7,7,7,9,9];[1,1,1,3,7,7,25]
[1,1,1,3,7,9,23];[1,1,1,3,7,11,21]
[1,1,1,3,7,13,19];[1,1,1,3,7,15,17]
[1,1,1,3,9,9,21];[1,1,1,3,9,11,19]
[1,1,1,3,9,13,17];[1,1,1,3,9,15,15]
[1,1,1,3,11,11,17];[1,1,1,3,11,13,15]
[1,1,1,3,13,13,13];[1,1,1,3,39]
[1,1,1,5,5,5,5,5,5,5,7];[1,1,1,5,5,5,5,5,17]
[1,1,1,5,5,5,5,7,15];[1,1,1,5,5,5,5,9,13]
[1,1,1,5,5,5,5,11,11];[1,1,1,5,5,5,7,7,13]
[1,1,1,5,5,5,7,9,11];[1,1,1,5,5,5,9,9,9]
[1,1,1,5,5,5,27];[1,1,1,5,5,7,7,7,11]
[1,1,1,5,5,7,7,9,9];[1,1,1,5,5,7,25]
[1,1,1,5,5,9,23];[1,1,1,5,5,11,21]
[1,1,1,5,5,13,19];[1,1,1,5,5,15,17]
[1,1,1,5,7,7,7,7,9];[1,1,1,5,7,7,23]
[1,1,1,5,7,9,21];[1,1,1,5,7,11,19]
[1,1,1,5,7,13,17];[1,1,1,5,7,15,15]
[1,1,1,5,9,9,19];[1,1,1,5,9,11,17]
[1,1,1,5,9,13,15];[1,1,1,5,11,11,15]
[1,1,1,5,11,13,13];[1,1,1,5,37]
[1,1,1,7,7,7,7,7,7];[1,1,1,7,7,7,21]
[1,1,1,7,7,9,19];[1,1,1,7,7,11,17]
[1,1,1,7,7,13,15];[1,1,1,7,9,9,17]
[1,1,1,7,9,11,15];[1,1,1,7,9,13,13]
[1,1,1,7,11,11,13];[1,1,1,7,35]
[1,1,1,9,9,9,15];[1,1,1,9,9,11,13]
[1,1,1,9,11,11,11];[1,1,1,9,33]
[1,1,1,11,31];[1,1,1,13,29]
[1,1,1,15,27];[1,1,1,17,25]
[1,1,1,19,23];[1,1,1,21,21]
[1,1,3,3,3,3,3,3,3,3,3,3,3,3,7];[1,1,3,3,3,3,3,3,3,3,3,3,3,5,5]
[1,1,3,3,3,3,3,3,3,3,3,3,13];[1,1,3,3,3,3,3,3,3,3,3,5,11]
[1,1,3,3,3,3,3,3,3,3,3,7,9];[1,1,3,3,3,3,3,3,3,3,5,5,9]
[1,1,3,3,3,3,3,3,3,3,5,7,7];[1,1,3,3,3,3,3,3,3,3,19]
[1,1,3,3,3,3,3,3,3,5,5,5,7];[1,1,3,3,3,3,3,3,3,5,17]
[1,1,3,3,3,3,3,3,3,7,15];[1,1,3,3,3,3,3,3,3,9,13]
[1,1,3,3,3,3,3,3,3,11,11];[1,1,3,3,3,3,3,3,5,5,5,5,5]
[1,1,3,3,3,3,3,3,5,5,15];[1,1,3,3,3,3,3,3,5,7,13]
[1,1,3,3,3,3,3,3,5,9,11];[1,1,3,3,3,3,3,3,7,7,11]
[1,1,3,3,3,3,3,3,7,9,9];[1,1,3,3,3,3,3,3,25]
[1,1,3,3,3,3,3,5,5,5,13];[1,1,3,3,3,3,3,5,5,7,11]
[1,1,3,3,3,3,3,5,5,9,9];[1,1,3,3,3,3,3,5,7,7,9]
[1,1,3,3,3,3,3,5,23];[1,1,3,3,3,3,3,7,7,7,7]
[1,1,3,3,3,3,3,7,21];[1,1,3,3,3,3,3,9,19]
[1,1,3,3,3,3,3,11,17];[1,1,3,3,3,3,3,13,15]
[1,1,3,3,3,3,5,5,5,5,11];[1,1,3,3,3,3,5,5,5,7,9]
[1,1,3,3,3,3,5,5,7,7,7];[1,1,3,3,3,3,5,5,21]
[1,1,3,3,3,3,5,7,19];[1,1,3,3,3,3,5,9,17]
[1,1,3,3,3,3,5,11,15];[1,1,3,3,3,3,5,13,13]
[1,1,3,3,3,3,7,7,17];[1,1,3,3,3,3,7,9,15]
[1,1,3,3,3,3,7,11,13];[1,1,3,3,3,3,9,9,13]
[1,1,3,3,3,3,9,11,11];[1,1,3,3,3,3,31]
[1,1,3,3,3,5,5,5,5,5,9];[1,1,3,3,3,5,5,5,5,7,7]
[1,1,3,3,3,5,5,5,19];[1,1,3,3,3,5,5,7,17]
[1,1,3,3,3,5,5,9,15];[1,1,3,3,3,5,5,11,13]
[1,1,3,3,3,5,7,7,15];[1,1,3,3,3,5,7,9,13]
[1,1,3,3,3,5,7,11,11];[1,1,3,3,3,5,9,9,11]
[1,1,3,3,3,5,29];[1,1,3,3,3,7,7,7,13]
[1,1,3,3,3,7,7,9,11];[1,1,3,3,3,7,9,9,9]
[1,1,3,3,3,7,27];[1,1,3,3,3,9,25]
[1,1,3,3,3,11,23];[1,1,3,3,3,13,21]
[1,1,3,3,3,15,19];[1,1,3,3,3,17,17]
[1,1,3,3,5,5,5,5,5,5,7];[1,1,3,3,5,5,5,5,17]
[1,1,3,3,5,5,5,7,15];[1,1,3,3,5,5,5,9,13]
[1,1,3,3,5,5,5,11,11];[1,1,3,3,5,5,7,7,13]
[1,1,3,3,5,5,7,9,11];[1,1,3,3,5,5,9,9,9]
[1,1,3,3,5,5,27];[1,1,3,3,5,7,7,7,11]
[1,1,3,3,5,7,7,9,9];[1,1,3,3,5,7,25]
[1,1,3,3,5,9,23];[1,1,3,3,5,11,21]
[1,1,3,3,5,13,19];[1,1,3,3,5,15,17]
[1,1,3,3,7,7,7,7,9];[1,1,3,3,7,7,23]
[1,1,3,3,7,9,21];[1,1,3,3,7,11,19]
[1,1,3,3,7,13,17];[1,1,3,3,7,15,15]
[1,1,3,3,9,9,19];[1,1,3,3,9,11,17]
[1,1,3,3,9,13,15];[1,1,3,3,11,11,15]
[1,1,3,3,11,13,13];[1,1,3,3,37]
[1,1,3,5,5,5,5,5,5,5,5];[1,1,3,5,5,5,5,5,15]
[1,1,3,5,5,5,5,7,13];[1,1,3,5,5,5,5,9,11]
[1,1,3,5,5,5,7,7,11];[1,1,3,5,5,5,7,9,9]
[1,1,3,5,5,5,25];[1,1,3,5,5,7,7,7,9]
[1,1,3,5,5,7,23];[1,1,3,5,5,9,21]
[1,1,3,5,5,11,19];[1,1,3,5,5,13,17]
[1,1,3,5,5,15,15];[1,1,3,5,7,7,7,7,7]
[1,1,3,5,7,7,21];[1,1,3,5,7,9,19]
[1,1,3,5,7,11,17];[1,1,3,5,7,13,15]
[1,1,3,5,9,9,17];[1,1,3,5,9,11,15]
[1,1,3,5,9,13,13];[1,1,3,5,11,11,13]
[1,1,3,5,35];[1,1,3,7,7,7,19]
[1,1,3,7,7,9,17];[1,1,3,7,7,11,15]
[1,1,3,7,7,13,13];[1,1,3,7,9,9,15]
[1,1,3,7,9,11,13];[1,1,3,7,11,11,11]
[1,1,3,7,33];[1,1,3,9,9,9,13]
[1,1,3,9,9,11,11];[1,1,3,9,31]
[1,1,3,11,29];[1,1,3,13,27]
[1,1,3,15,25];[1,1,3,17,23]
[1,1,3,19,21];[1,1,5,5,5,5,5,5,13]
[1,1,5,5,5,5,5,7,11];[1,1,5,5,5,5,5,9,9]
[1,1,5,5,5,5,7,7,9];[1,1,5,5,5,5,23]
[1,1,5,5,5,7,7,7,7];[1,1,5,5,5,7,21]
[1,1,5,5,5,9,19];[1,1,5,5,5,11,17]
[1,1,5,5,5,13,15];[1,1,5,5,7,7,19]
[1,1,5,5,7,9,17];[1,1,5,5,7,11,15]
[1,1,5,5,7,13,13];[1,1,5,5,9,9,15]
[1,1,5,5,9,11,13];[1,1,5,5,11,11,11]
[1,1,5,5,33];[1,1,5,7,7,7,17]
[1,1,5,7,7,9,15];[1,1,5,7,7,11,13]
[1,1,5,7,9,9,13];[1,1,5,7,9,11,11]
[1,1,5,7,31];[1,1,5,9,9,9,11]
[1,1,5,9,29];[1,1,5,11,27]
[1,1,5,13,25];[1,1,5,15,23]
[1,1,5,17,21];[1,1,5,19,19]
[1,1,7,7,7,7,15];[1,1,7,7,7,9,13]
[1,1,7,7,7,11,11];[1,1,7,7,9,9,11]
[1,1,7,7,29];[1,1,7,9,9,9,9]
[1,1,7,9,27];[1,1,7,11,25]
[1,1,7,13,23];[1,1,7,15,21]
[1,1,7,17,19];[1,1,9,9,25]
[1,1,9,11,23];[1,1,9,13,21]
[1,1,9,15,19];[1,1,9,17,17]
[1,1,11,11,21];[1,1,11,13,19]
[1,1,11,15,17];[1,1,13,13,17]
[1,1,13,15,15];[1,1,43]
[1,3,3,3,3,3,3,3,3,3,3,3,3,3,5];[1,3,3,3,3,3,3,3,3,3,3,3,11]
[1,3,3,3,3,3,3,3,3,3,3,5,9];[1,3,3,3,3,3,3,3,3,3,3,7,7]
[1,3,3,3,3,3,3,3,3,3,5,5,7];[1,3,3,3,3,3,3,3,3,3,17]
[1,3,3,3,3,3,3,3,3,5,5,5,5];[1,3,3,3,3,3,3,3,3,5,15]
[1,3,3,3,3,3,3,3,3,7,13];[1,3,3,3,3,3,3,3,3,9,11]
[1,3,3,3,3,3,3,3,5,5,13];[1,3,3,3,3,3,3,3,5,7,11]
[1,3,3,3,3,3,3,3,5,9,9];[1,3,3,3,3,3,3,3,7,7,9]
[1,3,3,3,3,3,3,3,23];[1,3,3,3,3,3,3,5,5,5,11]
[1,3,3,3,3,3,3,5,5,7,9];[1,3,3,3,3,3,3,5,7,7,7]
[1,3,3,3,3,3,3,5,21];[1,3,3,3,3,3,3,7,19]
[1,3,3,3,3,3,3,9,17];[1,3,3,3,3,3,3,11,15]
[1,3,3,3,3,3,3,13,13];[1,3,3,3,3,3,5,5,5,5,9]
[1,3,3,3,3,3,5,5,5,7,7];[1,3,3,3,3,3,5,5,19]
[1,3,3,3,3,3,5,7,17];[1,3,3,3,3,3,5,9,15]
[1,3,3,3,3,3,5,11,13];[1,3,3,3,3,3,7,7,15]
[1,3,3,3,3,3,7,9,13];[1,3,3,3,3,3,7,11,11]
[1,3,3,3,3,3,9,9,11];[1,3,3,3,3,3,29]
[1,3,3,3,3,5,5,5,5,5,7];[1,3,3,3,3,5,5,5,17]
[1,3,3,3,3,5,5,7,15];[1,3,3,3,3,5,5,9,13]
[1,3,3,3,3,5,5,11,11];[1,3,3,3,3,5,7,7,13]
[1,3,3,3,3,5,7,9,11];[1,3,3,3,3,5,9,9,9]
[1,3,3,3,3,5,27];[1,3,3,3,3,7,7,7,11]
[1,3,3,3,3,7,7,9,9];[1,3,3,3,3,7,25]
[1,3,3,3,3,9,23];[1,3,3,3,3,11,21]
[1,3,3,3,3,13,19];[1,3,3,3,3,15,17]
[1,3,3,3,5,5,5,5,5,5,5];[1,3,3,3,5,5,5,5,15]
[1,3,3,3,5,5,5,7,13];[1,3,3,3,5,5,5,9,11]
[1,3,3,3,5,5,7,7,11];[1,3,3,3,5,5,7,9,9]
[1,3,3,3,5,5,25];[1,3,3,3,5,7,7,7,9]
[1,3,3,3,5,7,23];[1,3,3,3,5,9,21]
[1,3,3,3,5,11,19];[1,3,3,3,5,13,17]
[1,3,3,3,5,15,15];[1,3,3,3,7,7,7,7,7]
[1,3,3,3,7,7,21];[1,3,3,3,7,9,19]
[1,3,3,3,7,11,17];[1,3,3,3,7,13,15]
[1,3,3,3,9,9,17];[1,3,3,3,9,11,15]
[1,3,3,3,9,13,13];[1,3,3,3,11,11,13]
[1,3,3,3,35];[1,3,3,5,5,5,5,5,13]
[1,3,3,5,5,5,5,7,11];[1,3,3,5,5,5,5,9,9]
[1,3,3,5,5,5,7,7,9];[1,3,3,5,5,5,23]
[1,3,3,5,5,7,7,7,7];[1,3,3,5,5,7,21]
[1,3,3,5,5,9,19];[1,3,3,5,5,11,17]
[1,3,3,5,5,13,15];[1,3,3,5,7,7,19]
[1,3,3,5,7,9,17];[1,3,3,5,7,11,15]
[1,3,3,5,7,13,13];[1,3,3,5,9,9,15]
[1,3,3,5,9,11,13];[1,3,3,5,11,11,11]
[1,3,3,5,33];[1,3,3,7,7,7,17]
[1,3,3,7,7,9,15];[1,3,3,7,7,11,13]
[1,3,3,7,9,9,13];[1,3,3,7,9,11,11]
[1,3,3,7,31];[1,3,3,9,9,9,11]
[1,3,3,9,29];[1,3,3,11,27]
[1,3,3,13,25];[1,3,3,15,23]
[1,3,3,17,21];[1,3,3,19,19]
[1,3,5,5,5,5,5,5,11];[1,3,5,5,5,5,5,7,9]
[1,3,5,5,5,5,7,7,7];[1,3,5,5,5,5,21]
[1,3,5,5,5,7,19];[1,3,5,5,5,9,17]
[1,3,5,5,5,11,15];[1,3,5,5,5,13,13]
[1,3,5,5,7,7,17];[1,3,5,5,7,9,15]
[1,3,5,5,7,11,13];[1,3,5,5,9,9,13]
[1,3,5,5,9,11,11];[1,3,5,5,31]
[1,3,5,7,7,7,15];[1,3,5,7,7,9,13]
[1,3,5,7,7,11,11];[1,3,5,7,9,9,11]
[1,3,5,7,29];[1,3,5,9,9,9,9]
[1,3,5,9,27];[1,3,5,11,25]
[1,3,5,13,23];[1,3,5,15,21]
[1,3,5,17,19];[1,3,7,7,7,7,13]
[1,3,7,7,7,9,11];[1,3,7,7,9,9,9]
[1,3,7,7,27];[1,3,7,9,25]
[1,3,7,11,23];[1,3,7,13,21]
[1,3,7,15,19];[1,3,7,17,17]
[1,3,9,9,23];[1,3,9,11,21]
[1,3,9,13,19];[1,3,9,15,17]
[1,3,11,11,19];[1,3,11,13,17]
[1,3,11,15,15];[1,3,13,13,15]
[1,3,41];[1,5,5,5,5,5,5,5,9]
[1,5,5,5,5,5,5,7,7];[1,5,5,5,5,5,19]
[1,5,5,5,5,7,17];[1,5,5,5,5,9,15]
[1,5,5,5,5,11,13];[1,5,5,5,7,7,15]
[1,5,5,5,7,9,13];[1,5,5,5,7,11,11]
[1,5,5,5,9,9,11];[1,5,5,5,29]
[1,5,5,7,7,7,13];[1,5,5,7,7,9,11]
[1,5,5,7,9,9,9];[1,5,5,7,27]
[1,5,5,9,25];[1,5,5,11,23]
[1,5,5,13,21];[1,5,5,15,19]
[1,5,5,17,17];[1,5,7,7,7,7,11]
[1,5,7,7,7,9,9];[1,5,7,7,25]
[1,5,7,9,23];[1,5,7,11,21]
[1,5,7,13,19];[1,5,7,15,17]
[1,5,9,9,21];[1,5,9,11,19]
[1,5,9,13,17];[1,5,9,15,15]
[1,5,11,11,17];[1,5,11,13,15]
[1,5,13,13,13];[1,5,39]
[1,7,7,7,7,7,9];[1,7,7,7,23]
[1,7,7,9,21];[1,7,7,11,19]
[1,7,7,13,17];[1,7,7,15,15]
[1,7,9,9,19];[1,7,9,11,17]
[1,7,9,13,15];[1,7,11,11,15]
[1,7,11,13,13];[1,7,37]
[1,9,9,9,17];[1,9,9,11,15]
[1,9,9,13,13];[1,9,11,11,13]
[1,9,35];[1,11,11,11,11]
[1,11,33];[1,13,31]
[1,15,29];[1,17,27]
[1,19,25];[1,21,23]
[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3];[3,3,3,3,3,3,3,3,3,3,3,3,9]
[3,3,3,3,3,3,3,3,3,3,3,5,7];[3,3,3,3,3,3,3,3,3,3,5,5,5]
[3,3,3,3,3,3,3,3,3,3,15];[3,3,3,3,3,3,3,3,3,5,13]
[3,3,3,3,3,3,3,3,3,7,11];[3,3,3,3,3,3,3,3,3,9,9]
[3,3,3,3,3,3,3,3,5,5,11];[3,3,3,3,3,3,3,3,5,7,9]
[3,3,3,3,3,3,3,3,7,7,7];[3,3,3,3,3,3,3,3,21]
[3,3,3,3,3,3,3,5,5,5,9];[3,3,3,3,3,3,3,5,5,7,7]
[3,3,3,3,3,3,3,5,19];[3,3,3,3,3,3,3,7,17]
[3,3,3,3,3,3,3,9,15];[3,3,3,3,3,3,3,11,13]
[3,3,3,3,3,3,5,5,5,5,7];[3,3,3,3,3,3,5,5,17]
[3,3,3,3,3,3,5,7,15];[3,3,3,3,3,3,5,9,13]
[3,3,3,3,3,3,5,11,11];[3,3,3,3,3,3,7,7,13]
[3,3,3,3,3,3,7,9,11];[3,3,3,3,3,3,9,9,9]
[3,3,3,3,3,3,27];[3,3,3,3,3,5,5,5,5,5,5]
[3,3,3,3,3,5,5,5,15];[3,3,3,3,3,5,5,7,13]
[3,3,3,3,3,5,5,9,11];[3,3,3,3,3,5,7,7,11]
[3,3,3,3,3,5,7,9,9];[3,3,3,3,3,5,25]
[3,3,3,3,3,7,7,7,9];[3,3,3,3,3,7,23]
[3,3,3,3,3,9,21];[3,3,3,3,3,11,19]
[3,3,3,3,3,13,17];[3,3,3,3,3,15,15]
[3,3,3,3,5,5,5,5,13];[3,3,3,3,5,5,5,7,11]
[3,3,3,3,5,5,5,9,9];[3,3,3,3,5,5,7,7,9]
[3,3,3,3,5,5,23];[3,3,3,3,5,7,7,7,7]
[3,3,3,3,5,7,21];[3,3,3,3,5,9,19]
[3,3,3,3,5,11,17];[3,3,3,3,5,13,15]
[3,3,3,3,7,7,19];[3,3,3,3,7,9,17]
[3,3,3,3,7,11,15];[3,3,3,3,7,13,13]
[3,3,3,3,9,9,15];[3,3,3,3,9,11,13]
[3,3,3,3,11,11,11];[3,3,3,3,33]
[3,3,3,5,5,5,5,5,11];[3,3,3,5,5,5,5,7,9]
[3,3,3,5,5,5,7,7,7];[3,3,3,5,5,5,21]
[3,3,3,5,5,7,19];[3,3,3,5,5,9,17]
[3,3,3,5,5,11,15];[3,3,3,5,5,13,13]
[3,3,3,5,7,7,17];[3,3,3,5,7,9,15]
[3,3,3,5,7,11,13];[3,3,3,5,9,9,13]
[3,3,3,5,9,11,11];[3,3,3,5,31]
[3,3,3,7,7,7,15];[3,3,3,7,7,9,13]
[3,3,3,7,7,11,11];[3,3,3,7,9,9,11]
[3,3,3,7,29];[3,3,3,9,9,9,9]
[3,3,3,9,27];[3,3,3,11,25]
[3,3,3,13,23];[3,3,3,15,21]
[3,3,3,17,19];[3,3,5,5,5,5,5,5,9]
[3,3,5,5,5,5,5,7,7];[3,3,5,5,5,5,19]
[3,3,5,5,5,7,17];[3,3,5,5,5,9,15]
[3,3,5,5,5,11,13];[3,3,5,5,7,7,15]
[3,3,5,5,7,9,13];[3,3,5,5,7,11,11]
[3,3,5,5,9,9,11];[3,3,5,5,29]
[3,3,5,7,7,7,13];[3,3,5,7,7,9,11]
[3,3,5,7,9,9,9];[3,3,5,7,27]
[3,3,5,9,25];[3,3,5,11,23]
[3,3,5,13,21];[3,3,5,15,19]
[3,3,5,17,17];[3,3,7,7,7,7,11]
[3,3,7,7,7,9,9];[3,3,7,7,25]
[3,3,7,9,23];[3,3,7,11,21]
[3,3,7,13,19];[3,3,7,15,17]
[3,3,9,9,21];[3,3,9,11,19]
[3,3,9,13,17];[3,3,9,15,15]
[3,3,11,11,17];[3,3,11,13,15]
[3,3,13,13,13];[3,3,39]
[3,5,5,5,5,5,5,5,7];[3,5,5,5,5,5,17]
[3,5,5,5,5,7,15];[3,5,5,5,5,9,13]
[3,5,5,5,5,11,11];[3,5,5,5,7,7,13]
[3,5,5,5,7,9,11];[3,5,5,5,9,9,9]
[3,5,5,5,27];[3,5,5,7,7,7,11]
[3,5,5,7,7,9,9];[3,5,5,7,25]
[3,5,5,9,23];[3,5,5,11,21]
[3,5,5,13,19];[3,5,5,15,17]
[3,5,7,7,7,7,9];[3,5,7,7,23]
[3,5,7,9,21];[3,5,7,11,19]
[3,5,7,13,17];[3,5,7,15,15]
[3,5,9,9,19];[3,5,9,11,17]
[3,5,9,13,15];[3,5,11,11,15]
[3,5,11,13,13];[3,5,37]
[3,7,7,7,7,7,7];[3,7,7,7,21]
[3,7,7,9,19];[3,7,7,11,17]
[3,7,7,13,15];[3,7,9,9,17]
[3,7,9,11,15];[3,7,9,13,13]
[3,7,11,11,13];[3,7,35]
[3,9,9,9,15];[3,9,9,11,13]
[3,9,11,11,11];[3,9,33]
[3,11,31];[3,13,29]
[3,15,27];[3,17,25]
[3,19,23];[3,21,21]
[5,5,5,5,5,5,5,5,5];[5,5,5,5,5,5,15]
[5,5,5,5,5,7,13];[5,5,5,5,5,9,11]
[5,5,5,5,7,7,11];[5,5,5,5,7,9,9]
[5,5,5,5,25];[5,5,5,7,7,7,9]
[5,5,5,7,23];[5,5,5,9,21]
[5,5,5,11,19];[5,5,5,13,17]
[5,5,5,15,15];[5,5,7,7,7,7,7]
[5,5,7,7,21];[5,5,7,9,19]
[5,5,7,11,17];[5,5,7,13,15]
[5,5,9,9,17];[5,5,9,11,15]
[5,5,9,13,13];[5,5,11,11,13]
[5,5,35];[5,7,7,7,19]
[5,7,7,9,17];[5,7,7,11,15]
[5,7,7,13,13];[5,7,9,9,15]
[5,7,9,11,13];[5,7,11,11,11]
[5,7,33];[5,9,9,9,13]
[5,9,9,11,11];[5,9,31]
[5,11,29];[5,13,27]
[5,15,25];[5,17,23]
[5,19,21];[7,7,7,7,17]
[7,7,7,9,15];[7,7,7,11,13]
[7,7,9,9,13];[7,7,9,11,11]
[7,7,31];[7,9,9,9,11]
[7,9,29];[7,11,27]
[7,13,25];[7,15,23]
[7,17,21];[7,19,19]
[9,9,9,9,9];[9,9,27]
[9,11,25];[9,13,23]
[9,15,21];[9,17,19]
[11,11,23];[11,13,21]
[11,15,19];[11,17,17]
[13,13,19];[13,15,17]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9]
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,7];[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5]
